store_name,store_address,rating,user,date,text,menu_mentions,source
Think Coffee,123 4th Ave,5,Leah S,2026-04-29,Excellent selection of baked goods. Granola yogurt is amazing.,granola|pastry,bundled
Think Coffee,123 4th Ave,5,Bruce D,2025-10-19,I had a large matcha thick frosty and delicious.,matcha,bundled
Think Coffee,123 4th Ave,5,David H,2024-11-24,Double espresso was smooth and creamy. Muffins scones and breads available.,espresso|muffin|scone,bundled
Think Coffee,123 4th Ave,5,Erik B,2024-12-05,Almond croissant flaky buttery almond paste. Hot coffee rich and smooth.,almond|croissant|pastry|coffee,bundled
Think Coffee,123 4th Ave,4,Kailey N,2025-07-19,Picked up matcha via app. Matcha was tasty.,matcha,bundled
Think Coffee,123 4th Ave,5,Michelle T,2024-11-15,Large latte and ham cheese croissant. Latte perfect balance.,latte|croissant,bundled
Think Coffee,123 4th Ave,3,Valerie W,2024-12-15,Strawberry matcha lemonade decently good. Good spot to do work.,matcha,bundled
Think Coffee,123 4th Ave,5,Jade M,2026-04-29,Matcha and sandwich. Specialty drinks amazing.,matcha|sandwich,bundled
Think Coffee,123 4th Ave,4,Kim F,2024-04-04,Graham cracker latte hit the spot.,latte|coffee,bundled
Think Coffee,123 4th Ave,1,Apple B,2025-11-14,Ground coffee handed loose in bags. Used to be loyal visitor.,coffee,bundled
